,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
164,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",789496,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
165,Skin,"Sabrina Carpenter",784841,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07
166,Madonna,Bausa,776411,https://open.spotify.com/track/0DAQryfUiFZdWFo76RYBc8
167,"Every Breath You Take","The Police",775492,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
168,"Just the Way You Are","Bruno Mars",769434,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
169,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",766919,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
170,"Smells Like Teen Spirit",Nirvana,766330,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
171,"Tyler Herro","Jack Harlow",765519,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
172,"Somebody That I Used To Know",Gotye,764665,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
173,Closer,"The Chainsmokers",754205,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
174,Maniac,"Conan Gray",750736,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4
175,"Remember That Night?","Sara Kays",750301,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7
176,"BOOKER T","Bad Bunny",749615,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
177,"Esquema Preferido","DJ Ivis",748134,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
178,"Stressed Out","Twenty One Pilots",747254,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
179,"How You Like That",BLACKPINK,746821,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
180,"Tapão Na Raba","Raí Saia Rodada",745325,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
181,"Counting Stars",OneRepublic,744957,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
182,"Star Shopping","Lil Peep",740542,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
183,"Someone To You",BANNERS,739936,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
184,"hot girl bummer",blackbear,737620,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
185,Jeans,"Justin Quiles",736628,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
186,"everything i wanted","Billie Eilish",734342,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
187,"In the End","Linkin Park",732562,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
188,Sofia,Clairo,732003,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
189,"Without Me",Halsey,731661,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
190,"Electric Love",BØRNS,731122,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
191,Photograph,"Ed Sheeran",730153,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
192,ROXANNE,"Arizona Zervas",729855,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
193,"Hot N*gga","Bobby Shmurda",729088,https://open.spotify.com/track/19gEmPjfqSZT0ulDRfjl0m
194,Riptide,"Vance Joy",728658,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
195,"The Less I Know The Better","Tame Impala",727371,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
196,"Intentions (feat. Quavo)","Justin Bieber",726404,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
197,"Lifestyle (feat. Adam Levine)","Jason Derulo",725813,https://open.spotify.com/track/0osvOdeD3YXZiWkT8MKolJ
198,Hope,XXXTENTACION,723111,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
199,"I Don't Care (with Justin Bieber)","Ed Sheeran",722914,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
200,"Fly Away","Tones And I",720995,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
